accession	bytes	status
GCA_021043185.1	1238252	ok
GCA_016801775.1	1238477	ok
GCA_021043195.1	1518401	ok
GCA_016801795.1	1458066	ok
GCA_016801755.1	1187799	ok
GCA_021043225.1	1189218	ok
GCA_021043285.1	1483792	ok
GCA_016811155.4	1460310	ok
GCA_021043265.1	1467122	ok
GCA_021136355.1	1698555	ok
GCA_021136665.1	1661586	ok
GCA_021136695.1	1673740	ok
GCA_021135615.1	1716750	ok
GCA_021137635.1	1682209	ok
GCA_021137675.1	1734922	ok
GCA_021137615.1	1686543	ok
GCA_016801815.1	1490431	ok
GCA_021136775.1	1673860	ok
GCA_021137655.1	1686372	ok
GCA_021136815.1	1583957	ok
GCA_021137735.1	1675903	ok
GCA_021137715.1	1668614	ok
GCA_021136845.1	1652595	ok
GCA_021136875.1	1648616	ok
GCA_021137755.1	1663112	ok
GCA_021136735.1	1708462	ok
GCA_021137775.1	1629837	ok
GCA_021137695.1	1606578	ok
GCA_021136945.1	1615906	ok
GCA_021137795.1	1634460	ok
GCA_021136955.1	1616200	ok
GCA_021137815.1	1639910	ok
GCA_021136895.1	1611339	ok
GCA_021136835.1	1652239	ok
GCA_021137035.1	1654851	ok
GCA_021137835.1	1669005	ok
GCA_021137135.1	1605001	ok
GCA_021137155.1	1727115	ok
GCA_021137895.1	1749475	ok
GCA_021137855.1	1711146	ok
GCA_021137165.1	1690031	ok
GCA_021137235.1	1585215	ok
GCA_021137875.1	1749672	ok
GCA_021137955.1	1597827	ok
GCA_021138155.1	1716443	ok
GCA_021137915.1	1620266	ok
GCA_021137275.1	1661726	ok
GCA_021137935.1	1679049	ok
GCA_021137295.1	1640567	ok
GCA_021137975.1	1659431	ok
GCA_021137315.1	1692278	ok
GCA_021137215.1	1726871	ok
GCA_021138035.1	1708694	ok
GCA_021137335.1	1635166	ok
GCA_021708595.1	1977971	ok
GCA_022133565.1	768612	cached
GCA_045688185.1	1566019	ok
GCA_021137255.1	1699225	ok
GCA_036419235.1	779015	cached
GCA_022138565.1	612990	cached
GCA_025765755.1	593554	cached
GCA_041941425.1	1607395	ok
GCA_030410115.2	1968855	ok
GCA_022169545.1	1772571	cached
GCA_030007315.1	1749474	cached
GCA_021929375.1	1603363	ok
GCA_022107755.3	1633998	ok
GCA_022758265.1	893745	cached
GCA_022749455.1	920069	cached
GCA_023126915.1	679707	cached
GCA_032595075.1	682317	cached
GCA_041283295.1	1620824	ok
GCA_025790825.1	593512	ok
GCA_022138585.1	613227	ok
GCA_023126965.1	618301	cached
GCA_032594915.1	625606	cached
GCA_022167185.1	1660875	ok
GCA_030007135.1	1608910	ok
GCA_022321865.1	1629615	ok
GCA_041765265.1	1614793	ok
GCA_023126945.1	606580	ok
GCA_032594935.1	608273	ok
GCA_023631515.1	910472	ok
GCA_022699565.1	938327	ok
GCA_023709245.1	1546358	ok
GCA_023734795.1	1546450	ok
GCA_023709265.1	1544944	ok
GCA_023709285.1	1532665	ok
GCA_023734815.1	1532914	ok
GCA_023709305.1	1526776	ok
GCA_023709345.1	1426625	ok
GCA_023709325.1	1433009	ok
GCA_023734835.1	1434771	ok
GCA_023709365.1	1541220	ok
GCA_023734855.1	1517828	ok
GCA_023709385.1	1509779	ok
GCA_023709405.1	1547115	ok
GCA_023709425.1	1532557	ok
GCA_023709505.1	1533455	ok
GCA_023734895.1	1534309	ok
GCA_023709545.1	1529064	ok
GCA_023709525.1	1524156	ok
GCA_023734875.1	1546942	ok
GCA_023734915.1	1528851	ok
GCA_023709565.1	1514574	ok
GCA_023709585.1	1529072	ok
GCA_023709625.1	1522299	ok
GCA_023734935.1	1529411	ok
GCA_023709605.1	1502666	ok
GCA_023734955.1	1523680	ok
GCA_023709645.1	1505930	ok
GCA_023709665.1	1548216	ok
GCA_023734975.1	1548877	ok
GCA_023709705.1	1528685	ok
GCA_023734995.1	1528660	ok
GCA_023709725.1	1503507	ok
GCA_023709805.1	1553253	ok
GCA_023735015.1	1553342	ok
GCA_023709845.1	1528217	ok
GCA_023735035.1	1528578	ok
GCA_023709825.1	1527790	ok
GCA_023735055.1	1518056	ok
GCA_023709885.1	1517916	ok
GCA_023709905.1	1503262	ok
GCA_023709685.1	1521908	ok
GCA_023709925.1	1568199	ok
GCA_023735075.1	1530124	ok
GCA_023709945.1	1629302	ok
GCA_023709965.1	1521636	ok
GCA_023735155.1	1522734	ok
GCA_023709985.1	1605346	ok
GCA_023735195.1	1525166	ok
GCA_023710025.1	1532073	ok
