cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	2-3Mb	78986	cont5_disagreement_rate	0.0273897	0.0172172	0.0508524	0.000870057	0.0256844	0.0290949	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	floor_rate	8.00253e-05	0	0.000237942	4.78113e-05	-1.36831e-05	0.000173734	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_d_comp	1.85254	0.946128	2.42748	0.041601	1.771	1.93408	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_d_cont	-0.99232	-1.21748	-0.514098	0.016548	-1.02475	-0.959887	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_comp_checkm2	86.0426	83.4717	88.209	0.0604658	85.9241	86.1611	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_comp_magicc	87.8952	84.9681	89.9921	0.0662054	87.7654	88.0249	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_cont_checkm2	1.75519	1.62875	1.93359	0.0105873	1.73444	1.77594	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	mean_cont_magicc	0.762867	0.551063	1.23121	0.0139417	0.735542	0.790192	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_HQ_to_HQ	0.32553	0.249499	0.398598	0.00248614	0.320657	0.330403	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_HQ_to_MQ	0.0714679	0.0559655	0.100677	0.00135462	0.0688128	0.0741229	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_HQ_to_LQ	0.00600063	0.00365675	0.0113431	0.000387421	0.0052413	0.00675996	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_MQ_to_HQ	0.16557	0.138615	0.188262	0.00197628	0.161696	0.169443	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_MQ_to_MQ	0.422081	0.32205	0.518551	0.00262158	0.416943	0.427219	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_MQ_to_LQ	0.00926821	0.00593455	0.016934	0.000488639	0.00831049	0.0102259	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_LQ_to_MQ	5.54368e-05	1.14414e-05	0.000119139	3.90383e-05	-2.10769e-05	0.00013195	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	cell_LQ_to_LQ	2.77184e-05	0	9.5036e-05	2.76046e-05	-2.63857e-05	8.18224e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	slope_d_comp_per_log10Mbp	6.79007	-7.6856	16.6403				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	slope_d_cont_per_log10Mbp	2.37603	-0.342532	7.37939				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	3-5Mb	34179	p_class_change	0.305423	0.261659	0.374602	0.00591934	0.293821	0.317025	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	3-5Mb	34179	p_downgrade	0.111512	0.0759115	0.18293	0.00397085	0.103729	0.119295	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
