accession	description	study_accession
GCA_902511735	AG-319-A01 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902511765	AG-319-A08 assembly for uncultured prokaryote	PRJEB33281
GCA_902511795	AG-319-A16 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902511845	AG-319-A13 assembly for uncultured Cryomorphaceae bacterium	PRJEB33281
GCA_902511875	AG-319-B06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511905	AG-319-B19 assembly for uncultured prokaryote	PRJEB33281
GCA_902511915	AG-319-B15 assembly for uncultured prokaryote	PRJEB33281
GCA_902511955	AG-319-B13 assembly for uncultured prokaryote	PRJEB33281
GCA_902511985	AG-319-B10 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511995	AG-319-A23 assembly for uncultured prokaryote	PRJEB33281
GCA_902512005	AG-319-B09 assembly for uncultured prokaryote	PRJEB33281
GCA_902512015	AG-319-B17 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512025	AG-319-B04 assembly for uncultured prokaryote	PRJEB33281
GCA_902512035	AG-319-B05 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512045	AG-319-C02 assembly for uncultured prokaryote	PRJEB33281
GCA_902512055	AG-319-C07 assembly for uncultured prokaryote	PRJEB33281
GCA_902512095	AG-319-B21 assembly for uncultured prokaryote	PRJEB33281
GCA_902512125	AG-319-C05 assembly for uncultured prokaryote	PRJEB33281
GCA_902512135	AG-319-C08 assembly for uncultured prokaryote	PRJEB33281
GCA_902512165	AG-319-C11 assembly for uncultured Cryomorphaceae bacterium	PRJEB33281
GCA_902512205	AG-319-C18 assembly for uncultured prokaryote	PRJEB33281
GCA_902512215	AG-319-D03 assembly for uncultured prokaryote	PRJEB33281
GCA_902512225	AG-319-D02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512255	AG-319-C22 assembly for uncultured prokaryote	PRJEB33281
GCA_902512275	AG-319-C21 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902512295	AG-319-D08 assembly for uncultured prokaryote	PRJEB33281
GCA_902512325	AG-319-D07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902512335	AG-319-D06 assembly for uncultured prokaryote	PRJEB33281
GCA_902512365	AG-319-D16 assembly for uncultured prokaryote	PRJEB33281
GCA_902512385	AG-319-D19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512415	AG-319-E03 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902512445	AG-319-D21 assembly for uncultured prokaryote	PRJEB33281
GCA_902512475	AG-319-D17 assembly for uncultured prokaryote	PRJEB33281
GCA_902512505	AG-319-E08 assembly for uncultured prokaryote	PRJEB33281
GCA_902512515	AG-319-E09 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902512545	AG-319-E16 assembly for uncultured prokaryote	PRJEB33281
GCA_902512555	AG-319-E13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512585	AG-319-E21 assembly for uncultured Woeseiaceae bacterium	PRJEB33281
GCA_902512615	AG-319-F03 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902512655	AG-319-E22 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902512675	AG-319-F07 assembly for uncultured prokaryote	PRJEB33281
GCA_902512695	AG-319-F09 assembly for uncultured prokaryote	PRJEB33281
GCA_902512715	AG-319-F08 assembly for uncultured prokaryote	PRJEB33281
GCA_902512755	AG-319-F16 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512765	AG-319-F05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512795	AG-319-F21 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512825	AG-319-G10 assembly for uncultured prokaryote	PRJEB33281
GCA_902512835	AG-319-G02 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512845	AG-319-G16 assembly for uncultured prokaryote	PRJEB33281
GCA_902512855	AG-319-G13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512895	AG-319-G04 assembly for uncultured prokaryote	PRJEB33281
GCA_902512905	AG-319-G07 assembly for uncultured prokaryote	PRJEB33281
GCA_902512925	AG-319-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902512945	AG-319-G20 assembly for uncultured prokaryote	PRJEB33281
GCA_902512985	AG-319-I13 assembly for uncultured prokaryote	PRJEB33281
GCA_902513015	AG-319-I09 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513025	AG-319-G23 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902513085	AG-319-I11 assembly for uncultured prokaryote	PRJEB33281
GCA_902513155	AG-319-I20 assembly for uncultured prokaryote	PRJEB33281
GCA_902513165	AG-319-I18 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513175	AG-319-J21 assembly for uncultured prokaryote	PRJEB33281
GCA_902513185	AG-319-J10 assembly for uncultured prokaryote	PRJEB33281
GCA_902513195	AG-319-J04 assembly for uncultured prokaryote	PRJEB33281
GCA_902513205	AG-319-J14 assembly for uncultured prokaryote	PRJEB33281
GCA_902513215	AG-319-J16 assembly for uncultured prokaryote	PRJEB33281
GCA_902513225	AG-319-J07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902513235	AG-319-J20 assembly for uncultured prokaryote	PRJEB33281
GCA_902513245	AG-319-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902513255	AG-319-I23 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902513355	AG-319-I22 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513365	AG-319-J19 assembly for uncultured prokaryote	PRJEB33281
GCA_902513375	AG-319-K03 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902513385	AG-319-K07 assembly for uncultured prokaryote	PRJEB33281
GCA_902513395	AG-319-K05 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902513405	AG-319-K02 assembly for uncultured prokaryote	PRJEB33281
GCA_902513425	AG-319-J22 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513435	AG-319-J23 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902513445	AG-319-K06 assembly for uncultured prokaryote	PRJEB33281
GCA_902513475	AG-319-K17 assembly for uncultured prokaryote	PRJEB33281
GCA_902513485	AG-319-K10 assembly for uncultured marine group III euryarchaeote	PRJEB33281
GCA_902513495	AG-319-K19 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902513515	AG-319-K08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902513525	AG-319-K16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513595	AG-319-K23 assembly for uncultured prokaryote	PRJEB33281
GCA_902513605	AG-319-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902513615	AG-319-L09 assembly for uncultured prokaryote	PRJEB33281
GCA_902513625	AG-319-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902513645	AG-319-L17 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902513655	AG-319-L16 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902513685	AG-319-L20 assembly for uncultured prokaryote	PRJEB33281
GCA_902513695	AG-319-L15 assembly for uncultured prokaryote	PRJEB33281
GCA_902513705	AG-319-L11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902513715	AG-319-L19 assembly for uncultured Verrucomicrobiota bacterium	PRJEB33281
GCA_902513725	AG-319-L13 assembly for uncultured prokaryote	PRJEB33281
GCA_902513735	AG-319-L10 assembly for uncultured prokaryote	PRJEB33281
GCA_902513745	AG-319-L04 assembly for uncultured prokaryote	PRJEB33281
GCA_902513755	AG-319-M02 assembly for uncultured prokaryote	PRJEB33281
GCA_902513765	AG-319-L21 assembly for uncultured prokaryote	PRJEB33281
GCA_902513775	AG-319-L14 assembly for uncultured Balneatrix sp.	PRJEB33281
GCA_902513835	AG-319-M08 assembly for uncultured prokaryote	PRJEB33281
GCA_902513855	AG-319-M18 assembly for uncultured prokaryote	PRJEB33281
GCA_902513895	AG-319-M11 assembly for uncultured prokaryote	PRJEB33281
GCA_902513915	AG-319-M04 assembly for uncultured prokaryote	PRJEB33281
GCA_902513945	AG-319-M19 assembly for uncultured prokaryote	PRJEB33281
GCA_902513955	AG-319-M14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513965	AG-319-M17 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902513975	AG-319-N04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513985	AG-319-N02 assembly for uncultured prokaryote	PRJEB33281
GCA_902513995	AG-319-N03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514025	AG-319-N08 assembly for uncultured Verrucomicrobiota bacterium	PRJEB33281
GCA_902514035	AG-319-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902514105	AG-319-N19 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514135	AG-319-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902514155	AG-319-N23 assembly for uncultured prokaryote	PRJEB33281
GCA_902514225	AG-319-O07 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514275	AG-319-O22 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902514285	AG-319-O17 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902514375	AG-319-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902514385	AG-319-O23 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902514395	AG-319-P03 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902514405	AG-319-P10 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902514415	AG-319-P04 assembly for uncultured prokaryote	PRJEB33281
GCA_902514425	AG-319-P09 assembly for uncultured prokaryote	PRJEB33281
GCA_902514435	AG-319-P06 assembly for uncultured prokaryote	PRJEB33281
GCA_902514445	AG-319-P07 assembly for uncultured prokaryote	PRJEB33281
GCA_902514465	AG-319-P08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514475	AG-319-P16 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902514485	AG-319-P11 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902514505	AG-319-P23 assembly for uncultured prokaryote	PRJEB33281
GCA_902514515	AG-325-A05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514525	AG-319-P14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514535	AG-325-A04 assembly for uncultured prokaryote	PRJEB33281
GCA_902514545	AG-319-P19 assembly for uncultured prokaryote	PRJEB33281
GCA_902514595	AG-319-P20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514605	AG-325-A06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514615	AG-319-P17 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514625	AG-319-P13 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514635	AG-325-A17 assembly for uncultured prokaryote	PRJEB33281
GCA_902514645	AG-325-A20 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514655	AG-325-A16 assembly for uncultured prokaryote	PRJEB33281
GCA_902514665	AG-325-A09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514735	AG-325-A10 assembly for uncultured prokaryote	PRJEB33281
GCA_902514745	AG-325-A13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514775	AG-325-A22 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514785	AG-325-A23 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902514795	AG-325-B02 assembly for uncultured prokaryote	PRJEB33281
GCA_902514875	AG-325-B13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902514885	AG-325-C06 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902514895	AG-325-B11 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902514935	AG-325-B16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514945	AG-325-C07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514965	AG-325-C05 assembly for uncultured prokaryote	PRJEB33281
GCA_902514975	AG-325-B17 assembly for uncultured prokaryote	PRJEB33281
GCA_902514985	AG-325-B20 assembly for uncultured prokaryote	PRJEB33281
GCA_902515005	AG-325-B15 assembly for uncultured prokaryote	PRJEB33281
GCA_902515015	AG-325-B19 assembly for uncultured prokaryote	PRJEB33281
GCA_902515025	AG-325-B21 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515035	AG-325-C09 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515045	AG-325-C11 assembly for uncultured prokaryote	PRJEB33281
GCA_902515055	AG-325-C14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515065	AG-325-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902515075	AG-325-C19 assembly for uncultured prokaryote	PRJEB33281
GCA_902515085	AG-325-C10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515095	AG-325-C18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515105	AG-325-C16 assembly for uncultured prokaryote	PRJEB33281
GCA_902515115	AG-325-C13 assembly for uncultured prokaryote	PRJEB33281
GCA_902515125	AG-325-C15 assembly for Planctomycetaceae bacterium	PRJEB33281
GCA_902515145	AG-325-D06 assembly for uncultured prokaryote	PRJEB33281
GCA_902515155	AG-325-C22 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515175	AG-325-D03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515185	AG-325-C21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515195	AG-325-D07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515205	AG-325-D10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515215	AG-325-D09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515225	AG-325-D05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515235	AG-325-D02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515335	AG-325-D21 assembly for uncultured prokaryote	PRJEB33281
GCA_902515345	AG-325-D23 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515355	AG-325-E02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515365	AG-325-D20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515375	AG-325-E19 assembly for uncultured prokaryote	PRJEB33281
GCA_902515385	AG-325-E09 assembly for uncultured prokaryote	PRJEB33281
GCA_902515395	AG-325-E04 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902515405	AG-325-E07 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902515415	AG-325-E14 assembly for uncultured prokaryote	PRJEB33281
GCA_902515425	AG-325-E08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515435	AG-325-E05 assembly for uncultured prokaryote	PRJEB33281
GCA_902515445	AG-325-E06 assembly for uncultured prokaryote	PRJEB33281
GCA_902515455	AG-325-E16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515465	AG-325-E17 assembly for uncultured prokaryote	PRJEB33281
GCA_902515475	AG-325-E10 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902515485	AG-325-E11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515495	AG-325-E15 assembly for uncultured prokaryote	PRJEB33281
GCA_902515535	AG-325-F14 assembly for uncultured prokaryote	PRJEB33281
GCA_902515545	AG-325-F06 assembly for uncultured prokaryote	PRJEB33281
GCA_902515615	AG-313-E15 assembly for uncultured prokaryote	PRJEB33281
GCA_902515625	AG-325-E22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515635	AG-325-F02 assembly for uncultured prokaryote	PRJEB33281
GCA_902515705	AG-325-E20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515715	AG-325-F03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515735	AG-325-G07 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515745	AG-325-F23 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902515755	AG-325-G02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515775	AG-325-G09 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902515785	AG-325-G03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515795	AG-325-F20 assembly for uncultured prokaryote	PRJEB33281
GCA_902515805	AG-325-G10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515835	AG-325-G11 assembly for uncultured Pseudomonadota bacterium	PRJEB33281
GCA_902515845	AG-325-F21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515855	AG-325-G05 assembly for uncultured SAR92 cluster bacterium	PRJEB33281
GCA_902515865	AG-325-G08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515875	AG-325-F22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902515915	AG-325-G16 assembly for uncultured prokaryote	PRJEB33281
GCA_902515925	AG-325-G20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516075	AG-325-I09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902516145	AG-325-J08 assembly for uncultured prokaryote	PRJEB33281
GCA_902516155	AG-325-I21 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902516165	AG-325-J10 assembly for uncultured prokaryote	PRJEB33281
GCA_902516175	AG-325-J04 assembly for uncultured prokaryote	PRJEB33281
GCA_902516185	AG-325-J02 assembly for uncultured prokaryote	PRJEB33281
GCA_902516215	AG-325-I23 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902516225	AG-325-I17 assembly for Puniceicoccaceae bacterium	PRJEB33281
GCA_902516235	AG-325-J07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902516245	AG-325-I20 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902516275	AG-325-J09 assembly for uncultured prokaryote	PRJEB33281
GCA_902516285	AG-325-J11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902516295	AG-325-J14 assembly for uncultured prokaryote	PRJEB33281
GCA_902516305	AG-325-J15 assembly for uncultured prokaryote	PRJEB33281
GCA_902516335	AG-325-J21 assembly for uncultured prokaryote	PRJEB33281
GCA_902516345	AG-325-K02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516355	AG-325-K04 assembly for uncultured prokaryote	PRJEB33281
GCA_902516395	AG-325-K03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516405	AG-325-J22 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902516415	AG-325-K08 assembly for uncultured prokaryote	PRJEB33281
GCA_902516425	AG-325-K07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516435	AG-325-K09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516445	AG-325-K05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516455	AG-325-K06 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
